Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
179-1-20783,Madrigal,I Love and Have My Love Regarded,Weelkes,Haberlen,Neil A. Kjos Music Company,1,(SATB)
179-1-20786,Madrigal,"The Nightingale, the Organ of Delight",Weelkes,Carl,"National Music Publishers, Inc.",1,(SATB)
179-1-20797,Madrigal,Madonn' io non lo so perche lo fai,Willaert,Hall,"National Music Publishers, Inc.",1,(SATB) (Italian) (NO instruments)
179-2-20798,Madrigal,In Memory of Alexander,Anchieta,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 5];Shawnee Press",2,(SATB)
179-2-20799,Madrigal,"Pase El Agoa, Ma Julieta",Anon. or Trad.,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 3 (Desirable Women)]",2,(SATB) (Spanish)
179-2-20801,Madrigal,"Phyllis, Farewell",Bateson,,"Galaxy Music Corporation [Invitation to Madrigals, Book Two];Penguin Books",2,(SATB)
179-2-20803,Madrigal,The Elves' Dance,Bennet,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",2,(SSAB)
179-2-20804,Madrigal,"Eyes So Clear, So Calm, So Tender",Brudieu,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 5];Shawnee Press",2,(SSAT)
179-2-20805,Madrigal,Upon a Summer's Day,Byrd,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20806,Madrigal,Wounded I Am,Byrd,,"Galaxy Music Corporation [Invitation to Madrigals, Book Two]",2,(SATB)
179-2-20811,Madrigal,De Vosotros E' Mansilla,d'Espinosa,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 5];Shawnee Press",2,(SATB) (Spanish)
179-2-20813,Madrigal,I Know A Young Maiden Wondrous Fair,di Lasso,,"E.C. Schirmer Music Company [A Cappella Singer, The]",2,(SATB)
179-2-20816,Madrigal,"Matona, Lovely Maiden",di Lasso,,"E.C. Schirmer Music Company [A Cappella Singer, The]",2,(SATB) (English or Italian)
179-2-20817,Madrigal,My Heart Doth Beg You'll Not Forget,di Lasso,,"E.C. Schirmer Music Company [A Cappella Singer, The]",2,(SATB)
179-2-20823,Madrigal,"Weep You No More, Sad Fountains",Dowland,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 3];Oxford University Press [Madrigals and Partsongs];Shawnee Press",2,(SATB)
179-2-20824,Madrigal,Mas Vale Trocar,Encina,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 2 (Love and Marriage)]",2,(SATB) (Spanish)
179-2-20825,Madrigal,"My Best Beloved, He Loves Thee",Enrrique,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 5];Shawnee Press",2,(SATB)
179-2-20826,Madrigal,Clamabat Autem Mulier,Escobar,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 5];Shawnee Press",2,(SATB) (Latin)
179-2-20828,Madrigal,Pearce Did Dance,Farnaby,,"Galaxy Music Corporation [Invitation to Madrigals, Book Two]",2,(SATB)
179-2-20829,Madrigal,Il ballerino,Gastoldi,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",2,"(SSB, SSA or TTB) (Italian)"
179-2-20830,Madrigal,Green and Flowery Meadow,Guerrero,,"Harold Flammer, Inc. [Renaissance to Baroque, Vol. 5];Shawnee Press",2,(SATB)
179-2-20841,Madrigal,"Sauter, danser",Lassus,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",2,(SATB) (French)
179-2-20842,Madrigal,Tutto lo di,Lassus,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",2,(SATB) (Italian)
179-2-20846,Madrigal,April Is In My Mistress' Face,Morley,Leavitt,"Penguin Books [Penguin Book of English Madrigals for Four Voices, The];Oxford University Press [Oxford Book of English Madrigals, The];E.C. Schirmer Music Company [A Cappella Singer, The];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 4 (The Seasons)];Galaxy Music Corporation [Invitation to Madrigals, Book 2]",2,(SATB)
179-2-20850,Madrigal,Do You Not Know?,Morley,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20853,Madrigal,O Sleep Fond Fancy,Morley,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20854,Madrigal,"Say, Gentle Nymphs",Morley,,"Penguin Books [Penguin Book of English Madrigals for Four Voices, The];Galaxy Music Corporation [Invitation to Madrigals, Book Two]",2,(SATB)
179-2-20856,Madrigal,Sing We and Chant It,Morley,,"Oxford University Press [Oxford Book of English Madrigals, The];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",2,(SSATB)
179-2-20858,Madrigal,Springtime Mantleth Every Bough,Morley,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 4 (The Seasons)]",2,(SAB)
179-2-20859,Madrigal,Though Philomela Lost Her Love,Morley,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20860,Madrigal,As I Went A-Walking,Mundy,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20864,Madrigal,Amyntas With His Phyllis Fair,Pilkington,,"Penguin Books [Penguin Book of English Madrigals for Four Voices, The];Galaxy Music Corporation [Invitation to Madrigals, Book Two]",2,(SATB)
179-2-20866,Madrigal,Der Winter Ist Ein Strenger Gast,Praetorius,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 4 (The Seasons)]",2,(SATB) (German)
179-2-20867,Madrigal,Herzlich Tut,Praetorius,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 4 (The Seasons)]",2,(SATB) (German) (sing two verses)
179-2-20870,Madrigal,"In These Delightful, Pleasant Groves",Purcell,,"E.C. Schirmer Music Company [A Cappella Singer, The]",2,(SATB)
179-2-20871,Madrigal,The Satyrs' Dance,Ravenscroft,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",2,(SATB)
179-2-20873,Madrigal,Vorria che tu cantass',Scandello,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)]",2,(SATB) (Italian)
179-2-20877,Madrigal,To Woodland Glades I Must Faire,Tessier,,"E.C. Schirmer Music Company [A Cappella Singer, The]",2,(SATB)
179-2-20878,Madrigal,How Great Delight,Tomkins,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20882,Madrigal,Cease Sorrow Now,Weelkes,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20883,Madrigal,"Grace My Lovely One, Fair Beauties",Weelkes,,"E.C. Schirmer Music Company [A Cappella Singer, The]",2,(SSATB)
179-2-20885,Madrigal,"Hark, All Ye Lovely Saints",Weelkes,,"Oxford University Press [Oxford Book of English Madrigals, The];G. Schirmer, Inc. [European Madrigals]",2,(SSATB)
179-2-20886,Madrigal,Late in My Rash Accounting,Weelkes,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20887,Madrigal,Now Every Tree,Weelkes,,"Galaxy Music Corporation [Invitation to Madrigals, Book Two]",2,(SATB)
179-2-20893,Madrigal,"Sweet Phyllis, Stay",Youll,,"Galaxy Music Corporation [Invitation to Madrigals, Book One]",2,(SAB)
179-2-20807,Madrigal,Mentre il Cuculo,Caimo,Swann,Plymouth Music Company,2,(SATB) (Italian)
179-2-20808,Madrigal,Ie Ne I'o Se Dire,Certon,Greyson,"Bourne, Co.",2,(SATB) (French)
179-2-20809,Madrigal,Je Le Vous Dirai!,Certon,Leavitt,"Hal Leonard Music, Inc.",2,(SATB) (French)
179-2-20810,Madrigal,"Je Ne L'ose Dire (La la la, je ne l'ose dire)",Certon,,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1];Hal Leonard Music, Inc. [The King's Singers European Renaissance]",2,(SATB) (French)
179-2-20812,Madrigal,The Cricket (El Grillo),des Pres,Payson,"Frank Music Corporation;Hal Leonard Music, Inc.",2,(SATB) (Spanish)
179-2-20818,Madrigal,Welcome Sweet May,di Lasso,Knight,"Carl Fischer, Inc.",2,(SATB) (English or German)
