Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
602-2-17947,Harp Solo,When Janie Smiles,Gustavson,,NG [Twilight Waltzes],2,
602-2-17948,Harp Solo,"Trois Petites Bluettes, Op. 28",Hasselmans,,Alphonse Leduc;Lyra Music Company;Public Domain,2,(play two)
602-2-17949,Harp Solo,Spanish Music for the Harp Vol. 3,Granados,McDonald/Wood,Music Works Harp Editions [Spanish Music for the Harp Vol. 3],2,(play No. 2 Oriental OR No. 6 Jota)
602-2-17951,Harp Solo,"Harp Solos Graded Recital Pieces, Vol. 2",Wood,,Music Works Harp Editions [Harp Solos Graded Recital Pieces Vol. 2],2,(play Processional OR Ballade OR Serenade)
602-2-17953,Harp Solo,"Medieval to Modern, Volume II",Milligan,,"Lyon & Healy Publications [Medieval to Modern, Volume II]",2,(play Greensleeves OR Three Welsh Traditional Airs)
602-2-17955,Harp Solo,Medieval to Modern Volume I,Milligan,,Lyon & Healy Publications [Medieval to Modern Volume I],2,(play Lai et Rotrouenge OR Minuet)
602-2-17958,Harp Solo,Anthology of Music for the Harp,Anon. or Trad.,Owen,Lyra Music Company [Anthology of Music for the Harp],2,(play Galop OR Shepherd Playing His Pipe OR Theme (from Sonata XVI) OR To A Wild Rose OR Waltz)
602-2-17963,Harp Solo,Two Chaconnes by Johann Pachelbel,Pachelbel,Barber,Vanderbilt [Two Chaconnes by Johann Pachelbel];Lyrical Light Harp Publications,2,(play one)
602-2-17965,Harp Solo,The Hunt Is Up,Paret,,"Composers Press, Inc., Opus Music",2,
602-2-17966,Harp Solo,Chanson de Guillot-Martin,Perilhou,Miller,"Carl Fischer, Inc.",2,
602-2-17967,Harp Solo,Estrellita,Ponce,Cambern,"Carl Fischer, Inc.;Lyra Music Company",2,
602-2-17968,Harp Solo,The Crystal Spring,Pool,,Roberton Publications [The Crystal Spring],2,(play My Boy Willie OR The Crystal Spring OR The Seeds of Love OR The Sweet Primeroses)
602-2-17972,Harp Solo,Danses pour la Dauphine,Pratt,,L&H [The Little Fountain],2,
602-2-17973,Harp Solo,Ground in F,Purcell,Thompson,Salvi,2,
602-2-17974,Harp Solo,Purcell for the Harp,Purcell,Owens,"G. Schirmer, Inc. [Purcell for the Harp]",2,(play Minuet in G and Rigadoon)
602-2-17977,Harp Solo,Feuillets d’Album,Renie,,Henry Lemoine [Feuillets d’Album],2,(play Angelus OR Esquisse)
602-2-17979,Harp Solo,Suite of Eight Dances,Salzedo,,Lyra Music Company;Lyon & Healy Publications,2,(play Tango OR Seguidilla)
602-2-17980,Harp Solo,Annie Laurie,Anon. or Trad.,Salzedo,"Carl Fischer, Inc.",2,
602-2-17981,Harp Solo,Melody,Schumann,Miller,"Carl Fischer, Inc.",2,
602-2-17983,Harp Solo,18th Century Music,Anon. or Trad.,Thompson,Franco Colombo,2,(play No. 1 or 3)
602-3-17985,Harp Solo,Charades,Andres,,Alphonse Leduc,3,(play any two of mvts from 1 - 6)
602-3-17986,Harp Solo,Marelles Book II,Andres,,Alphonse Leduc,3,(play No. 7 & 8; or 10 & 12)
602-3-17987,Harp Solo,Six Chorales,Bach,Thompson,Salvi,3,(play one)
