Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
931-1-21024,Mixed Chorus,My Heart's In the Highlands,Moore,,Studio 224;Any unabridged edition,1,(SATB) (accomp)
931-1-21027,Mixed Chorus,"O, My God, Bestow Thy Tender Mercy",Pergolesi,Hopson,"Carl Fischer, Inc.",1,(two part mixed) (accomp)
931-1-21028,Mixed Chorus,Simple Gifts,Anon. or Trad.,Rice,Broude Brothers;Any unabridged edition,1,(SAB) (accomp)
931-1-21029,Mixed Chorus,"Holy, Holy, Holy",Schubert,Liebergen,"Alfred Music Company, Inc.",1,(SAB) (accomp)
931-2-21030,Mixed Chorus,Jubilate Deo,Spevacek,,Heritage Music Press,2,(SATB or two part mixed) (accomp)
931-2-21031,Mixed Chorus,"Kommt, Ihr G'Spielen",Franck,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 4]",2,(SATB) (German) (a cappella)
931-2-21033,Mixed Chorus,Set Me As a Seal,Leavitt,,,2,(SATB) (opt. accomp) (a cappella)
931-2-21035,Mixed Chorus,Jamais Je N'aimerai Grand Homme,Anon. or Trad.,Anderson,Alliance Music Publications,2,(SATB) (French) (a cappella)
931-2-21036,Mixed Chorus,Ave Maria,Arcadelt,,Novello Publications Inc.,2,(SATB) (a cappella)
931-2-21037,Mixed Chorus,"Jesu, Priceless Treasure",Bach,Cruger/Collins,Cambiata Press,2,(four part variable voicing) (a cappella)
931-2-21039,Mixed Chorus,Kittery,Billings,,Walton Music Corporation,2,(SATB) (a cappella)
931-3-21041,Mixed Chorus,O Lord Our God,Byrd,Davis,"Alfred Music Company, Inc.",3,(SATB) (a cappella)
931-2-21042,Mixed Chorus,Early One Morning,Anon. or Trad.,Cain,Oliver Ditson Company,2,(SATB) (POP) (a cappella)
931-2-21043,Mixed Chorus,I'll Say It Anyway (Je le vous dirai!),Anon. or Trad.,Certon/Hirt,Hinshaw Music Inc.,2,(SATB) (French) (a cappella)
931-2-21044,Mixed Chorus,Je le vous dirai!,Certon,Leavitt,"Hal Leonard Music, Inc.",2,(SATB) (French) (a cappella)
931-2-21048,Mixed Chorus,Alabado Sea el Santisimo,Comes,Kaplan,Tetra Music Corporation,2,(SATB) (English or Spanish) (POP) (a cappella)
931-2-21049,Mixed Chorus,O Vos Omnes (Ye Who Pass By),Croce,Kjelson,"Belwin, Inc",2,(SATB) (English or Latin) (a cappella)
931-2-21050,Mixed Chorus,Gloria Alleluia,Crocker,,"Jenson Publications, Inc.;Any unabridged edition",2,(three part mixed) (accomp)
931-2-21053,Mixed Chorus,Benedictus,di Lasso,Snyder,Studio 224;Any unabridged edition,2,(SAB) (Latin) (a cappella)
931-2-25113,Mixed Chorus,O Bella Fusa,di Lasso,Klein,"G. Schirmer, Inc.",2,(SATB) (Italian) (a cappella)
931-2-21056,Mixed Chorus,All Ye Who Music Love,Donato,Meredith,Neil A. Kjos Music Company,2,(SATB) (a cappella)
931-2-21058,Mixed Chorus,Agnus Dei,Gabrieli,McCray,Cambiata Press,2,(four part variable voicing) (Latin) (a cappella)
931-2-21059,Mixed Chorus,Amor Vittorioso,Gastoldi,Leininger,Alliance Music Publications,2,(SATB) (Italian) (a cappella)
931-2-21060,Mixed Chorus,Shalom Aleichem,Goldfarb,Aldema,Transcontinental Music Publications,2,(SAB) (Hebrew) (a cappella)
931-2-21062,Mixed Chorus,"Lift Up Your Heads, O Gates",Hammerschmidt,Hopson,"Harold Flammer, Inc.;Any unabridged edition",2,(SATB) (a cappella)
931-2-21063,Mixed Chorus,Sanctus and Benedictus,Hassler,Harris,Shawnee Press,2,(SATB) (Latin) (sing ONLY Sanctus) (a cappella)
931-2-21034,Mixed Chorus,"Farewell, My Love",Anon. or Trad.,Hirt,"Carl Fischer, Inc.",2,(SATB) (a cappella)
931-2-21064,Mixed Chorus,"Innsbruck, I Now Must Leave You",Isaac,Leavitt,"Hal Leonard Music, Inc.",2,(SATB) (a cappella)
931-2-21069,Mixed Chorus,My Heart's in the Highlands,Leininger,,Southern Music Company,2,(SATB) (a cappella)
931-2-21070,Mixed Chorus,Glory and Honor,Lotti,Liebergen,"Carl Fischer, Inc.",2,(SATB) (POP) (a cappella)
931-2-21073,Mixed Chorus,Ride the Chariot,Anon. or Trad.,Melton,Cambiata Press,2,(four part variable voicing) (a cappella)
931-2-21074,Mixed Chorus,Cast Thy Burden Upon the Lord,Mendelssohn,Farrell,Cambiata Press,2,(four part variable voicing) (a cappella)
931-2-21075,Mixed Chorus,The Silver Swan,Mochnick,,"National Music Publishers, Inc.",2,(SATB) (a cappella)
931-2-21076,Mixed Chorus,And the Green Grass Grew,Moore,,"Alfred Music Company, Inc.",2,(SAB) (a cappella)
931-3-21077,Mixed Chorus,Gloria Patri,Morales/Hines,,"Elkan-Vogel Company, Inc.",3,(SATB) (Latin) (POP) (a cappella)
931-2-21078,Mixed Chorus,God is Our Refuge,Mozart,Stone,Tetra Music Corporation,2,(SATB) (a cappella)
931-2-21079,Mixed Chorus,Agnus Dei,Pitoni,McCray,Music 70 Music Publishers;Any unabridged edition,2,(SATB) (Latin) (a cappella)
931-2-21080,Mixed Chorus,Cantate Domino,Pitoni,Greyson/Reed,"Bourne, Co.;G. Schirmer, Inc.",2,(SATB or SAB) (Latin) (a cappella)
931-2-21082,Mixed Chorus,Laudate Dominum,Pitoni,Liebergen,"Carl Fischer, Inc.",2,(SATB) (Latin) (a cappella)
931-2-21083,Mixed Chorus,Psallite,Praetorius,Greyson/Leck,"Bourne, Co.;Hal Leonard Music, Inc.",2,(SATB) (Latin & German) (a cappella)
931-2-21084,Mixed Chorus,Domine Deus,Regnart,Snyder,Studio 224;Any unabridged edition,2,(SAB) (Latin) (a cappella)
931-2-21085,Mixed Chorus,"Ecce Quam Bonum (See How Good, How Right)",Richafort,Klein,"G. Schirmer, Inc.",2,(SATB) (English or Latin) (a cappella)
931-3-21086,Mixed Chorus,Keep Your Lamps!,Anon. or Trad.,Thomas,Hinshaw Music Inc.,3,(SATB) (conga drums) (a cappella)
931-2-21091,Mixed Chorus,"Great God, Eternal Lord",Tye,Greyson,"Bourne, Co.",2,(SATB) (a cappella)
931-2-21092,Mixed Chorus,The Lord is Good,Tye,,"Belwin, Inc",2,(SATB) (a cappella)
