Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
171-2-20486,Treble Small Ensemble,Qual si puo dir maggiore,Monteverdi,Kraus,"G. Schirmer, Inc. [European Madrigals for Equal Voices]",2,(SSA) (Italian)
171-2-20489,Treble Small Ensemble,It Was a Lover and His Lass,Morley,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",2,(SSA)
171-2-20493,Treble Small Ensemble,"See, Mine Own Sweet Jewel",Morley,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",2,(SSA)
171-2-20495,Treble Small Ensemble,When First I Saw Thee,Porter,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",2,(SSA)
171-2-20504,Treble Small Ensemble,Let All Who Sing Be Merry,Vecchi,Malin,"Belwin, Inc [Madrigals for Treble Voices]",2,(SSAA)
171-2-20505,Treble Small Ensemble,Fly Not So Fast,Ward,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",2,(SSA)
171-2-20507,Treble Small Ensemble,Some Men Desire Spouses,Weelkes,Malin,"Belwin, Inc [Madrigals for Treble Voices]",2,(SSA)
171-2-20513,Treble Small Ensemble,While Joyful Springtime Lasteth,Youll,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",2,(SSA)
171-2-20466,Treble Small Ensemble,A Summertime Dream,Crocker,,Southern Music Company,2,(SSA)
171-2-20468,Treble Small Ensemble,"Good Day, My Dear",di Lasso,Greyson,"Bourne, Co.",2,(SSA)
171-2-20471,Treble Small Ensemble,Come Let Your Hearts Be Singing,Gastoldi,Greyson,"Bourne, Co.",2,(SSA) (English or German)
171-2-20474,Treble Small Ensemble,This Sweet and Lovely Siren (Questa Dolce Sirena),Gastoldi,Greyson,"Bourne, Co.",2,(SSA) (English or Italian)
171-2-20477,Treble Small Ensemble,Three Renaissance Pieces for Treble Voices,Anon. or Trad.,Harris,Shawnee Press,2,(SSA) (sing one)
171-2-20478,Treble Small Ensemble,"Three Renaissance Pieces, Volume II",Anon. or Trad.,Harris,Shawnee Press,2,(SSA) (sing one)
171-2-20479,Treble Small Ensemble,Come Let Us Start a Joyful Song,Hassler,Greyson,"Bourne, Co.",2,(SSA)
171-2-20481,Treble Small Ensemble,"O Music, Thou Most Lovely Art",Jeep,Harris,Roger Dean Publishing Company;Lorenz Corporation,2,(SSA)
171-2-20485,Treble Small Ensemble,"Ah, Must We Part?",Monteverdi,Goldsmith,Roger Dean Publishing Company;Lorenz Corporation,2,(SSA)
171-2-20487,Treble Small Ensemble,And the Green Grass Grew,Moore,,"Alfred Music Company, Inc.",2,(SSA)
171-2-20488,Treble Small Ensemble,The Merry Month of May,Moore,,"Alfred Music Company, Inc.",2,(SSA)
171-2-20490,Treble Small Ensemble,Love Learns By Laughing,Morley,Fellowes,Galaxy Music Corporation,2,(SSA)
171-2-20492,Treble Small Ensemble,Now is the Month of Maying,Morley,Malin,Warner Bros. Music Publications Inc. [Madrigals for Treble Voices],2,(SSA)
171-2-20494,Treble Small Ensemble,Cantate Domino,Pitoni,Greyson,"Bourne, Co.",2,(SSA)
171-2-20502,Treble Small Ensemble,Tomorrow is the Marriage Day,Richardson,,Hope Publishing Company,2,(SSA)
171-2-20503,Treble Small Ensemble,Fa una canzona,Vecchi,Robinson,"Belwin, Inc;Alfred Music Company, Inc.",2,(SSA) (Italian)
171-2-20506,Treble Small Ensemble,"Come Now, My Dearest Jewel",Weelkes,Walker,Shawnee Press,2,(SSA)
171-2-20509,Treble Small Ensemble,Though My Carriage Be But Careless,Weelkes,Hall,"Galaxy Music Corporation [Invitation to Madrigals, Book 3];National Music Publishers, Inc.",2,(SSA) (opt instruments)
171-2-20511,Treble Small Ensemble,Seek Sweet Content,Wilbye,,Lawson-Gould Music Publishing Company,2,(SSA)
171-2-20512,Treble Small Ensemble,"Only Joy, Now Here You Are",Youll,Shipp,Lawson-Gould Music Publishing Company,2,(SSA)
171-3-20515,Treble Small Ensemble,"Awake My Heart, With Gladness",Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20516,Treble Small Ensemble,Cast Thy Burden Upon the Lord,Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20517,Treble Small Ensemble,"Comfort, Comfort Ye My People",Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20518,Treble Small Ensemble,"Jesus, Still Lead On",Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20519,Treble Small Ensemble,"Praise God, the Lord, Ye Sons of Men",Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20520,Treble Small Ensemble,Sanctus,Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20521,Treble Small Ensemble,"Sing to the Lord, Ye Righteous",Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20522,Treble Small Ensemble,Song of Praise,Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20523,Treble Small Ensemble,Whatever God Ordains is Good,Anon. or Trad.,Buszin,"Schmitt, Hall & McCreary Company [Motets and Chorales for Treble Voices (Auditorium Series No. 32)]",3,(SSA)
171-3-20526,Treble Small Ensemble,Dear Little Love,Clemens non Papa,Kraus,"G. Schirmer, Inc. [European Madrigals for Equal Voices]",3,(SSA)
171-3-20532,Treble Small Ensemble,My Heart Leaps Up with Gladness,Hagius,Kraus,"G. Schirmer, Inc. [European Madrigals for Equal Voices]",3,(SSA) (sing two verses)
171-3-20534,Treble Small Ensemble,Though Philomela Lost Her Love,Morley,Dart,"Galaxy Music Corporation [Invitation to Madrigals, Book 3]",3,(SSA)
171-3-20535,Treble Small Ensemble,Every Night When the Sun Goes In,Anon. or Trad.,Owen,Theodore Presser Company [Presser Choral Collection (SSA)],3,(SSA)
171-3-20536,Treble Small Ensemble,All My Endeavor,Regnart,Kraus,"G. Schirmer, Inc. [European Madrigals for Equal Voices]",3,(SSA)
171-3-20514,Treble Small Ensemble,Down Low in the Valley,Brahms,Trusler,Lawson-Gould Music Publishing Company,3,(SSA)
171-3-20524,Treble Small Ensemble,"Non, nobis Domine",Byrd,Bartle,Hinshaw Music Inc.,3,(SSA)
171-3-20527,Treble Small Ensemble,Now Each Flow'ry Bank of May,Crocker,,Southern Music Company,3,(SSA)
171-3-20531,Treble Small Ensemble,Da Pacem Domine,Goetze,,"Boosey & Hawkes, Inc.",3,(four-part)
171-3-20533,Treble Small Ensemble,Gute Nacht,Anon. or Trad.,McKelvy,Mark Foster Music Company,3,(SSA) (English or German)
171-3-20540,Treble Small Ensemble,Two Songs,Shearer,Gibbons/Herrick,Southern Music Company,3,(SSA) (sing one)
171-3-20541,Treble Small Ensemble,Rocking Carol,Anon. or Trad.,Shearer,Southern Music Company,3,(SSA)
171-1-27371,Treble Small Ensemble,What If I Never Speed?,Dowland,Neaum,Banks Music Publications,1,(SSAA)
171-2-27377,Treble Small Ensemble,O Hear the Joyful Music,Banchieri,Liebergen,"Alfred Music Company, Inc.",2,(SSA) (opt flute & hand drum)
171-2-27378,Treble Small Ensemble,Celebrate This Day Together,Clereau,Liebergen,"Hal Leonard Music, Inc.",2,(SSA)
171-2-27380,Treble Small Ensemble,In These Delightful Pleasant Groves,Purcell,Robinson,"Alfred Music Company, Inc.",2,(SSA)
171-3-27381,Treble Small Ensemble,Three New Madrigals,Althouse,,"Alfred Music Company, Inc.",3,(SSA) (sing one madrigal)
171-3-27384,Treble Small Ensemble,Two Renaissance Chorals For Women,Arcadelt,Robinson,"Belwin, Inc;Alfred Music Company, Inc.",3,(SSA) (sing one mvt)
171-3-27385,Treble Small Ensemble,"Come, Celebrate with Joyful Pleasure",Arcadelt,Liebergen,"Alfred Music Company, Inc.",3,(SSA) (no instruments)
171-2-27386,Treble Small Ensemble,Rise Up In Festive Song,Clereau,Liebergen,BriLee Music,2,(SSA)
171-3-27387,Treble Small Ensemble,All Ye Who Music Love,Donato,Robinson,"Alfred Music Company, Inc.",3,(SSA)
171-1-29574,Treble Small Ensemble,Two European Madrigals,various,Harris,Walton Music Corporation,1,(SSA) (sing one madrigal)
