Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
933-4-33207,Tenor-Bass Chorus,Dominus Vobiscum,Narverud,,"Carl Fischer, Inc.",4,(TBB) (divisi) (a cappella)
933-2-33211,Tenor-Bass Chorus,Lacrimosa Menuet,Jones,,BriLee Music,2,(TB) (opt divisi) (accomp)
933-3-33216,Tenor-Bass Chorus,We Shall Not Sleep,Farnell,,Alliance Music Publications,3,"(TB or TTB) (opt oboe, violin, OR C-instrument) (accomp)"
933-2-33220,Tenor-Bass Chorus,A Cowboy's Life,Davison,,BriLee Music,2,(TB or TTB) (opt solo) (accomp)
933-5-33225,Tenor-Bass Chorus,Cantate Domino,Schumacker,,Alliance Music Publications,5,(TBB) (accomp)
933-5-33292,Tenor-Bass Chorus,La Tarara,Traditional Spanish,Shaw,"Alfred Music Company, Inc.",5,(TTBB) (a cappella)
933-3-33294,Tenor-Bass Chorus,Cover Me with the Night,Ramsey,,Alliance Music Publications,3,(TTB) (opt solo) (accomp)
933-3-33295,Tenor-Bass Chorus,Star of Light,Farnell,,"Carl Fischer, Inc.",3,(TB) (opt divisi) (accomp)
933-2-33302,Tenor-Bass Chorus,Dies Irae,Jones,,BriLee Music,2,(TTB) (accomp)
933-3-33304,Tenor-Bass Chorus,King's Processional,Morton,,BriLee Music,3,(TTB) (opt percussion) (a cappella)
933-2-33305,Tenor-Bass Chorus,Omnia Vincit Amor,Trotta,,BriLee Music,2,(TB) (opt accomp (a cappella)
933-3-33307,Tenor-Bass Chorus,In Umbra,Thomas,,"Carl Fischer, Inc.",3,(TTB) (accomp)
933-4-33310,Tenor-Bass Chorus,"Hallelujah, Amen",Handel,Davison,E.C. Schirmer Music Company,4,(TTBB) (accomp)
933-5-33314,Tenor-Bass Chorus,My Spirit Looks to God Alone,Reed,Fox,"G. Schirmer, Inc.",5,(TTBB) (a cappella)
933-5-33319,Tenor-Bass Chorus,Ave Maria,de Victoria,Leavitt,"Hal Leonard Music, Inc.",5,(TTB) (a cappella)
933-3-33320,Tenor-Bass Chorus,Danny Boy,Juneau,,"Hal Leonard Music, Inc.",3,(TTB) (accomp)
933-2-33324,Tenor-Bass Chorus,Set Me As a Seal,Leavitt,,"Hal Leonard Music, Inc.",2,(TTB) (divisi) (opt a cappella) (accomp)
933-3-33330,Tenor-Bass Chorus,When the Roses Come Again,Juneau,,"Hal Leonard Music, Inc.",3,(TTB) (a cappella)
