Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
401-1-15913,Violin Solo,Rumanian Folk Dances,Bartok,Szekely,"Boosey & Hawkes, Inc.",1,
401-1-15915,Violin Solo,Concerto in D for Violin and Orchestra Op. 61,Beethoven,,"G. Schirmer, Inc.;International Music Company",1,(play one mvt)
401-1-15916,Violin Solo,"Romances No. 1 in G Major, Op. 40",Beethoven,,"G. Schirmer, Inc.;International Music Company;Carl Fischer, Inc.;C.F. Peters Corporation;Edwin F. Kalmus;G. Henle Verlag/USA, Inc.;Schott Company",1,(play one)
401-1-23805,Violin Solo,Sonata in A Major Op. 12 No. 2,Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt)
401-1-23809,Violin Solo,Sonata in A Major Op. 30 No. 1,Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt)
401-1-23812,Violin Solo,"Sonata in A Major Op. 47 ""Kreutzer""",Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt) NMR:(play two contrasting mvts.)
401-1-23807,Violin Solo,Sonata in a minor Op. 23,Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt)
401-1-23810,Violin Solo,Sonata in c minor Op. 30 No. 2,Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt) NMR:(play two contrasting mvts.)
401-1-15918,Violin Solo,Sonata in D Major Op. 12 No. 1,Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt)
401-1-23806,Violin Solo,Sonata in Eb Major Op. 12 No. 3,Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt)
401-1-23808,Violin Solo,"Sonata in F Major Op. 24 ""Spring""",Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt except scherzo OR scherzo PLUS another mvt)
401-1-23811,Violin Solo,Sonata in G Major Op. 30 No. 3,Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt)
401-1-23813,Violin Solo,Sonata in G Major Op. 96,Beethoven,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play one mvt except scherzo OR scherzo PLUS another mvt) NMR:(play two contrasting mvts.)
401-1-15921,Violin Solo,Melodie,Bloch,,"Carl Fischer, Inc.",1,
401-1-15922,Violin Solo,Suite No. 2 for Violin Solo,Bloch,,Broude Brothers,1,"(play Energico, Desiso & Moderato; or Andante & Allegro Molto)"
401-1-15923,Violin Solo,Cortege,Boulanger,,FHM [Violin Repertoire Album 8],1,(not included in 2013 edition)
401-1-15924,Violin Solo,Sonata for Violin and Piano Op. 100 in A Major,Brahms,,"B. Schott's Sohne, Mainz;International Music Company [Three Sonatas for Violin and Piano];G. Schirmer, Inc.",1,(play one mvt)
401-1-23851,Violin Solo,Sonata in d minor Op. 108,Brahms,,"International Music Company [Three Sonatas for Violin and Piano];G. Schirmer, Inc.",1,(play one mvt)
401-1-15925,Violin Solo,Sonata in G Major Op. 78,Brahms,,"International Music Company [Three Sonatas for Violin and Piano];G. Schirmer, Inc.",1,(play one mvt)
401-1-15926,Violin Solo,Sonatensatz,Brahms,,"International Music Company;Breitkopf & Hartel, Sales Department",1,
401-1-15927,Violin Solo,Cavatina Op. 13,Brockway,,"Margun Music, Inc.",1,
401-1-15928,Violin Solo,Concerto in g minor Op. 26,Bruch,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;Edwin F. Kalmus;Lyra Music Company",1,(play one mvt)
401-1-15929,Violin Solo,Scottish Fantasy,Bruch,,International Music Company,1,(play one mvt)
401-1-15932,Violin Solo,Concerto in e minor,Conus,,"G. Schirmer, Inc.;International Music Company",1,
401-1-15933,Violin Solo,Hoedown (from Rodeo),Copland,,"Boosey & Hawkes, Inc.",1,
401-1-15937,Violin Solo,Sonata Op. 5 No. 1,Corelli,Jensen/Bonelli,International Music Company;Zanibon,1,(play two contrasting mvts)
401-1-23855,Violin Solo,Sonata Op. 5 No. 2,Corelli,Jensen,International Music Company [Sonatas Op. 5 No. 1-6 Vol. 1],1,(play two contrasting mvts)
401-1-23856,Violin Solo,Sonata Op. 5 No. 3,Corelli,Jensen,International Music Company [Sonatas Op. 5 No. 1-6 Vol. 1],1,(play two contrasting mvts)
401-1-23857,Violin Solo,Sonata Op. 5 No. 4,Corelli,Jensen,International Music Company [Sonatas Op. 5 No. 1-6 Vol. 1],1,(play two contrasting mvts)
401-1-23858,Violin Solo,Sonata Op. 5 No. 5,Corelli,Jensen,International Music Company [Sonatas Op. 5 No. 1-6 Vol. 1],1,(play two contrasting mvts)
401-1-23859,Violin Solo,Sonata Op. 5 No. 6,Corelli,Jensen,International Music Company [Sonatas Op. 5 No. 1-6 Vol. 1],1,(play two contrasting mvts)
401-1-15940,Violin Solo,The Cuckoo,Daquin,,FHM [Violin Repertoire Album 8],1,(not included in 2013 edition)
401-1-15941,Violin Solo,Concerto No. 9 in a minor Op. 104,de Beriot,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;Summy/Birchard",1,(play one mvt)
401-1-15942,Violin Solo,Scene de Ballet Op. 100,de Beriot,,"C.F. Peters Corporation;G. Schirmer, Inc.;Summy/Birchard",1,
401-1-15943,Violin Solo,Concerto in a minor Op. 53 (B. 108),Dvorak,,Schott Company;International Music Company;Foreign Music Distributors,1,(play one mvt)
401-1-15944,Violin Solo,Four Romantic Pieces Op. 75,Dvorak,,"G. Schirmer, Inc.;Foreign Music Distributors",1,(play two)
401-1-15945,Violin Solo,Romance in f minor Op. 11,Dvorak,,International Music Company,1,
401-2-15947,Violin Solo,Sonata in g minor,Eccles,,"Summy/Birchard [Suzuki Violin School, Vol. 8];International Music Company",2,(play two contrasting mvts)
401-1-15950,Violin Solo,Allegro,Fiocco,Perlman,"Carl Fischer, Inc. [Violinist's Recital Album]",1,
401-2-15951,Violin Solo,L'Anglaise,Fiocco,O'Neill/Bent,"B. Schott's Sohne, Mainz",2,
401-1-15952,Violin Solo,Sonata in A Major,Franck,,"G. Schirmer, Inc.;Lyra Music Company",1,(play one mvt) NMR:(play two contrasting mvts.)
401-2-15953,Violin Solo,Siciliana,Geminiani,,FHM [Violin Repertoire Album 7],2,(not included in 2013 edition)
401-1-15954,Violin Solo,Short Story,Gershwin,Dushkin,"B. Schott's Sohne, Mainz",1,
401-1-15956,Violin Solo,Concerto in a minor Op. 82,Glazunov,,International Music Company,1,(play one mvt)
401-2-15957,Violin Solo,Melodie,Gluck,Kreisler,"Charles Foley, Inc.",2,
401-1-15958,Violin Solo,Concerto,Goldmark,,Lyra Music Company,1,(play one mvt)
401-2-15959,Violin Solo,Spanish Dance,Granados,Kreisler,"Charles Foley, Inc.",2,(available separately)
401-2-15961,Violin Solo,Tambourin,Gretry,,"Summy/Birchard [Suzuki Violin School, Vol. 8]",2,
401-1-15962,Violin Solo,Sonata No. 1 In F Op. 8,Grieg,,"Belwin, Inc;Edwin F. Kalmus",1,NMR:(play two contrasting mvts.)
401-1-15963,Violin Solo,Sonata No. 2 In G Op. 13,Grieg,,"Belwin, Inc;Edwin F. Kalmus",1,NMR:(play two contrasting mvts.)
401-1-15964,Violin Solo,Sonata No. 3 In c minor Op. 45,Grieg,,"Belwin, Inc;Edwin F. Kalmus",1,NMR:(play two contrasting mvts.)
401-1-15965,Violin Solo,Sonata No. 1 in A Major HWV 361,Handel,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;Summy/Birchard;International Music Company;Barenreiter/Verlag;Foreign Music Distributors",1,(play two contrasting mvts)
401-1-23816,Violin Solo,Sonata No. 2 in G minor HWV 368,Handel,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;International Music Company",1,(play two contrasting mvts)
